wordnv,acronym,posnv,tag,meaning,category,taxonomy_l1,taxonomy_l2,taxonomy_l3
a* search,Nill,NOUN,TN,a graph traversal and pathfinding algorithm used in computer science due to its completeness optimality and optimal efficiency,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
abductive logic programming,ALP,NOUN,TN,a high-level knowledge-representation framework for solving problems declaratively based on abductive reasoning,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
abductive reasoning,Nill,NOUN,TN,a form of logical inference which starts with observations and seeks the simplest and most likely explanation,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
ablation,Nill,NOUN,TN,the removal of a component of an AI system to determine its contribution by analyzing resultant performance,TN-01 General AI concepts and terminology,Concepts,General,Terminology
abstract data type,ADT,NOUN,TN,a mathematical model for data types defined by behavior from the point of view of a user,TN-04 Names of data resources and unwanted artifacts,Data,Resources,General
abstraction,Nill,NOUN,TN,the process of removing details in the study of objects or systems to attend to other details of interest,TN-01 General AI concepts and terminology,Concepts,General,Terminology
accelerating change,Nill,NOUN,TN,a perceived increase in the rate of technological change throughout history,TN-07 Names of mathematical or logical frameworks,Foundations,Logic,General
action language,Nill,NOUN,TN,a language for specifying state transition systems to create formal models of actions effects,TN-13 Names of NLP concepts and language tasks,NLP,Language,General
action model learning,Nill,NOUN,TN,machine learning for creation and modification of agent knowledge about action effects and preconditions,TN-06 Names of learning paradigms and strategies,Learning,Paradigms,General
action selection,Nill,NOUN,TN,the problem of intelligent systems determining what to do next,TN-01 General AI concepts and terminology,Concepts,General,Terminology
activation function,Nill,NOUN,TN,the function that defines a neural network nodes output given an input or set of inputs,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
adaptive algorithm,Nill,NOUN,TN,an algorithm that changes its behavior at runtime based on a reward mechanism or criterion,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
adaptive neuro fuzzy inference system,ANFIS,NOUN,TN,a neural network based on Takagi-Sugeno fuzzy inference integrating neural networks and fuzzy logic,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
admissible heuristic,Nill,NOUN,TN,a heuristic function that never overestimates the cost of reaching the goal in pathfinding,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
affective computing,Nill,NOUN,TN,development of systems that recognize interpret process and simulate human affects,TN-01 General AI concepts and terminology,Concepts,General,Terminology
agent architecture,Nill,NOUN,TN,a blueprint for software agents depicting the arrangement of components,TN-12 Names of agents and robotic systems,Systems,Robotics,General
ai accelerator,Nill,NOUN,TN,hardware designed for acceleration of artificial intelligence applications especially neural networks,TN-02 Names of models or architectures and components on them,Models,Neural Networks,General
ai-complete,Nill,NOUN,TN,the most difficult AI problems equivalent to making computers as intelligent as people,TN-01 General AI concepts and terminology,Concepts,General,Terminology
algorithm,Nill,NOUN,TN,an unambiguous specification of how to solve a class of problems,TN-01 General AI concepts and terminology,Concepts,General,Terminology
algorithmic efficiency,Nill,NOUN,TN,a property relating to the computational resources used by an algorithm,TN-05 Names of algorithms methods or procedures,Algorithms,Methods,General
algorithmic probability,Nill,NOUN,TN,a method of assigning prior probability to observations invented by Ray Solomonoff,TN-01 General AI concepts and terminology,Concepts,General,Terminology
alphago,Nill,NOUN,TN,a computer program that plays Go developed by Google DeepMind,TN-11 Names of persons groups or organizations,Organizations,Research,General
ambient intelligence,AmI,NOUN,TN,electronic environments sensitive and responsive to the presence of people,TN-01 General AI concepts and terminology,Concepts,General,Terminology
analysis of algorithms,Nill,NOUN,TN,determination of computational complexity including time and space complexity,TN-09 Metrics units and computational measures,Metrics,Evaluation,General
